Unnamed: 0,ranking,cheese_id,brand,name,country,matching,texture,types,category,price,content,img,brand_code
51,45,p45,더치 마스터피스,고다치즈 2종,네덜란드,"와인, 견과류, 파스타, 샐러드",2,1,6,"10,500원","26주, 52주 동안 숙성하여 만든 고다치즈!",https://img-cf.kurly.com/shop/data/goods/145371157091l0.jpg,31
1,1,p1,벨지오이오소,부라타 치즈,이탈리아,"채소, 발사믹식초, 견과류",1,1,11,"14,900원",버터처럼 부드러운 크림이 들어있는 생치즈,https://img-cf.kurly.com/shop/data/goods/1515396236580l0.jpg,11
88,71,p71,라퀘유,블루 도베르뉴,프랑스,"샐러드, 파스타, 감자",2,1,2,"10,200원",진한 자연의 냄새를 닮은 블루치즈,https://img-cf.kurly.com/shop/data/goods/1490762460389l0.jpg,33
69,56,p56,암브로시,유기농 고르곤졸라,이탈리아,"와인, 맥주, 피자, 크래커, 파스타, 딥소스",2,1,2,"9,900원",부드럽게 녹아내리는 블루 치즈,https://img-cf.kurly.com/shop/data/goods/1558944332697l0.jpg,37
36,30,p30,소리,버팔로 모짜렐라,이탈리아,"샌드위치, 카프레제, 피자",1,1,1,"6,900원",물소유가 주는 깊고 진한 맛,https://img-cf.kurly.com/shop/data/goods/157588271423l0.jpg,35
31,27,p27,라 콘타디나,버팔로 모짜렐라,이탈리아,"올리브오일, 소금",1,1,1,"9,600원",부담없이 신선하게 즐기는 프레쉬 치즈,https://img-cf.kurly.com/shop/data/goods/154882690843l0.jpg,9
52,46,p46,파르네세,파르미지아노 레지아노 18개월,이탈리아,"파스타, 그라탕, 샐러드, 피자, 와인, 발사믹 식초",3,1,5,"8,900원",컬리 Only] 18개월 숙성 치즈의 부드러운 깊은 맛,https://img-cf.kurly.com/shop/data/goods/1597383414438l0.jpg,23
84,68,p68,라퀘유,푸름 당베르,프랑스,"과일,와인, 사케, 스테이크, 테이블치즈, 타르트",5,1,2,"12,500원",입 안에서 꽃처럼 피어나는 화사한 향미의 블루치즈,https://img-cf.kurly.com/shop/data/goods/1490850630861l0.jpg,33
15,14,p14,콜롬보,모짜렐라,이탈리아,"토마토, 바질",1,1,1,"4,900원",신선하고 말랑한 우유의 꽃,https://img-cf.kurly.com/shop/data/goods/1487148793685l0.jpg,28
45,39,p39,마일랜드,뉴질랜드 체다 치즈 3종,뉴질랜드,"와인, 테이블치즈, 스프, 그라탕",2,1,4,"5,900원",입맛 따라 즐기는 뉴질랜드 대표 치즈,https://img-cf.kurly.com/shop/data/goods/158492969355l0.jpg,6
86,70,p70,퀘소로시난테,만체고 블랙 트러플 치즈,스페인,"타파스, 핑거푸드, 샐러드, 샤퀴테리, 멤브리요, 와인, 맥주",3,1,9,"12,500원",블랙트러플의 풍미를 더한 스페인 양젖 치즈,https://img-cf.kurly.com/shop/data/goods/1597801907799l0.jpg,4
62,52,p52,브리미,락토스프리 모짜렐라,이탈리아,"샐러드, 라자냐, 크로스티니, 키쉬, 치즈케이크,카나페, 파스타",1,1,1,"5,700원",유당불내증을 겪는 분들도 안심하고 즐길 수 있는 락토스프리 치즈,https://img-cf.kurly.com/shop/data/goods/1494580840999l0.jpg,34
43,37,p37,빔스터,110년 전통 고다치즈 3종,네덜란드,"샌드위치, 토스트, 샐러드, 파스타, 와인, 맥주, 카나페",2,1,6,"7,500원",치즈 풍미 뒤에 숨겨진 은은한 단맛,https://img-cf.kurly.com/shop/data/goods/1579165836964l0.jpg,24
60,51,p51,엘파스토르,고트 치즈,스페인,"샐러드, 피자, 와인",4,1,2,"7,500원",독특하고 신선한 여운,https://img-cf.kurly.com/shop/data/goods/1575338281586l0.jpg,27
24,21,p21,벨지오이오소,모짜렐라 로그,미국,"볶음밥,파스타,퐁듀",1,1,1,"15,900원",덩어리째로 만나보는 생 모짜렐라의 신선함,https://img-cf.kurly.com/shop/data/goods/1489046250671l0.jpg,11
11,11,p11,프리코,에멘탈 슬라이스,네덜란드,베이컨,2,1,10,"5,500원",전체적인 맛은 가벼운 편이지만 감미로운 풍미가 인상적인 치즈,https://img-cf.kurly.com/shop/data/goodsview/20170222/gv40000000201_1.jpg,41
20,19,p19,캐시밸리,미국 전통 치즈 5종,미국,"볶음밥,파스타,퐁듀",2,1,1,"4,900원",일상 속 가볍게 즐기는 치즈,https://img-cf.kurly.com/shop/data/goods/1564729594540l0.jpg,1
49,43,p43,벨레트왈,투르 드 파리 브리,프랑스,"견과류, 와인",4,1,8,"12,950원",보다 편안하게 즐길 수 있는 브리 치즈,https://img-cf.kurly.com/shop/data/goods/1493028272308l0.jpg,36
29,25,p25,만토바,파르미지아노 레지아노,이탈리아,"와인,샐러드,피자",3,1,5,"7,900원",꾸덕한 텍스처에 깃든 산뜻한 풍미,https://img-cf.kurly.com/shop/data/goods/1584929308198l0.jpg,17
42,36,p36,프레지덩,쁘띠 브리,프랑스,"빵, 비스킷, 견과류, 와인",4,1,8,"5,130원","탄탄한 감촉, 부드러운 식감",https://img-cf.kurly.com/shop/data/goods/1555911377839l0.jpg,8
41,35,p35,바버,1833 체다 치즈,영국,"베이컨,과일,간식",2,1,4,"4,200원",프랑스 전통 방식으로 만든,https://img-cf.kurly.com/shop/data/goods/1591148962586l0.jpg,26
2,2,p2,프란시아,모짜렐라 카우,이탈리아,"토마토,바질,샐러드",1,1,1,"3,870원",신선하게 피어난 우유 그대로의 맛,https://img-cf.kurly.com/shop/data/goods/1544576315159l0.jpg,15
82,66,p66,포인트 레이스,오리지널 블루,미국,"와인, 맥주, 채소",5,1,2,"13,500원",풀내음이 가득한 블루치즈,https://img-cf.kurly.com/shop/data/goods/157708476458l0.jpg,21
19,18,p18,캐시밸리,미국 전통 치즈 5종,미국,"샌드위치,파스타,맥앤치즈",2,1,4,"4,900원",일상 속 가볍게 즐기는 치즈,https://img-cf.kurly.com/shop/data/goods/1564729594540l0.jpg,1
13,12,p12,일드프랑스,미니 브리,프랑스,"비스킷,견과류,과일",4,1,8,"8,400원",한 입 크기로 부담없이 즐기는 미니 브리,https://img-cf.kurly.com/shop/data/goods/1528161805562l0.jpg,42
5,5,p5,브리미,보코치니,이탈리아,"샐러드, 올리브유",1,1,1,"6,800원",새알을 빚어놓은 듯 깜찍한 미니 모짜렐라,https://img-cf.kurly.com/shop/data/goods/1522737162969l0.jpg,34
10,10,p10,푸글리제,모짜렐라,이탈리아,"토마토,바질",1,1,1,"5,500원",담백하고 결이 살아있는 생 모짜렐라,https://img-cf.kurly.com/shop/data/goods/1487213431856l0.jpg,30
4,4,p4,카스텔로,덴마크 브리 치즈,덴마크,"빵, 꿀, 견과류, 와인",4,1,8,"4,165원",부드럽게 녹아드는 숙성치즈의 매력,https://img-cf.kurly.com/shop/data/goods/1566382934703l0.jpg,32
22,20,p20,카스텔로,덴마크 까망베르 치즈,덴마크,"빵,와인,견과류,과일",4,1,7,"4,165원",전자레인지 용기로 간편하게 먹는,https://img-cf.kurly.com/shop/data/goods/1566383011754l0.jpg,32
79,63,p63,란다나,저지 고다 머추어 치즈,네덜란드,"샌드위치, 토스트, 카나페, 와인, 맥주",2,1,6,"12,500원",고급 품종인 저지 소의 우유로 만든 고다 치즈,https://img-cf.kurly.com/shop/data/goods/1577777190648l0.jpg,20
67,55,p55,파르네세,파르미지아노 레지아노 24개월,이탈리아,"파스타, 그라탕, 샐러드, 피자, 와인, 발사믹 식초",3,1,5,"11,500원",컬리 Only] 24개월 숙성 치즈의 진한 깊은 맛,https://img-cf.kurly.com/shop/data/goods/1597384038163l0.jpg,23
6,6,p6,무르젤라,이탈리아 부라타 120g,이탈리아,"빵, 샤퀴테리, 핑거푸드",1,1,11,"6,600원",정통 레시피를 고수한 이탈리아 부라타 치즈!,https://img-cf.kurly.com/shop/data/goods/1583469543917l0.jpg,40
50,44,p44,델리시아,버팔로 모짜렐라,이탈리아,"샐러드, 피자, 카프레제, 와인, 테이블치즈",1,1,1,"8,900원",물소젖으로 만든 모짜렐라를 경험하고 싶다면,https://img-cf.kurly.com/shop/data/goods/152343656434l0.jpg,25
